"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added."	"""Ahora contamos con ratones de 4 meses que no son diabéticos y que solían serlo"", añadió."
"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days."	"El Dr. Ehud Ur, profesor de medicina en la Universidad de Dalhousie en Halifax, Nueva Escocia, y presidente de la división clínica y científica de la Asociación Canadiense de Diabetes, advirtió que la investigación aún se encuentra en sus primeras etapas."
"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes."	"Al igual que otros expertos, se muestra escéptico sobre la posibilidad de curar la diabetes, señalando que estos hallazgos no son relevantes para las personas que ya padecen diabetes tipo 1."
"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him."	"El lunes, Sara Danius, secretaria permanente del Comité Nobel de Literatura de la Academia Sueca, anunció públicamente durante un programa de radio en Sveriges Radio en Suecia que el comité, al no haber podido contactar directamente con Bob Dylan para hablar sobre su obtención del Premio Nobel de Literatura 2016, había abandonado sus esfuerzos por contactarlo."
"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough."""	"Danius declaró: ""Por el momento no estamos haciendo nada. He llamado y enviado correos electrónicos a su colaborador más cercano y he recibido respuestas muy amables. Por ahora, es suficiente""."
"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage."	"Anteriormente, el director ejecutivo de Ring, Jamie Siminoff, comentó que la empresa comenzó cuando el timbre de su puerta dejó de sonar desde su tienda en el garaje."
"He built a WiFi door bell, he said."	"Construyó un timbre con wifi, comentó."
"Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup."	"Siminoff afirmó que las ventas se dispararon tras su aparición en 2013 en un episodio de Shark Tank, donde el jurado del programa rechazó financiar la startup."
"In late 2017, Siminoff appeared on shopping television channel QVC."	"A finales de 2017, Siminoff apareció en el canal de televisión de compras QVC."
"Ring also settled a lawsuit with competing security company, the ADT Corporation."	"Ring también resolvió una demanda con la empresa de seguridad competidora, ADT Corporation."
"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection."	"Si bien una vacuna experimental parece capaz de reducir la mortalidad por ébola, hasta ahora, ningún fármaco ha demostrado ser claramente adecuado para tratar la infección existente."
